location,title,price_eur,rooms,m2,build_material,year,page,kinder_garden,metro_station
Krasno Selo,"Mnogostaen apartament 203 kv.m Tuhla 2023 g. 4 etaj Neposleden
Krasno Selo, Sofia",293929EUR,4,203,Tuhla,2023,77,0,1
Hladilnika,"Tristaen apartament 128 kv.m Tuhla 2023 g. 3 etaj Neposleden
Hladilnika, Sofia",276500EUR,3,128,Tuhla,2023,77,0,1
Hladilnika,"Tristaen apartament 130 kv.m Tuhla 2023 g. 4 etaj Neposleden
Hladilnika, Sofia",286500EUR,3,130,Tuhla,2023,77,0,1
Goze Delcev,"Tristaen apartament 110 kv.m Tuhla 2023 g. 7 etaj Neposleden
Goze Delcev, Sofia",235129EUR,3,110,Tuhla,2023,77,0,1
Zent_r,"Tristaen apartament 96 kv.m Tuhla 2023 g. 4 etaj Neposleden
Zent_r, Sofia",280000EUR,3,96,Tuhla,2023,77,0,1
Kr_stova Vada,"Tristaen apartament do Metrostanzia Vitosa
Kr_stova Vada, Sofia",195000EUR,3,113,Tuhla,2022,77,0,1
Dianabad,"Tristaen apartament Tuhla 2023 g. 3 etaj Neposleden
Dianabad, Sofia",185000EUR,3,119,Tuhla,2023,77,0,1
Kr_stova Vada,"Tristaen apartament 106 kv.m Tuhla 2023 g. 2 etaj Neposleden
Kr_stova Vada, Sofia",195690EUR,3,106,Tuhla,2023,77,0,1
Krasno Selo,"Tristaen apartament 122 kv.m Tuhla 2023 g. 5 etaj Neposleden
Krasno Selo, Sofia",157924EUR,3,122,Tuhla,2023,77,0,1
Manastirski Livadi,"Tristaen apartament Tuhla 2024 g. 2 etaj Neposleden
Manastirski Livadi, Sofia",172720EUR,3,102,Tuhla,2024,77,0,1
Kr_stova Vada,"Tristaen apartament v blizost do Mol Paradajs
Kr_stova Vada, Sofia",178850EUR,3,104,Tuhla,2022,77,0,1
Kr_stova Vada,"Tristaen apartament 94 kv.m Tuhla 2023 g. 2 etaj Neposleden
Kr_stova Vada, Sofia",164830EUR,3,94,Tuhla,2023,78,0,0
Levski,"Tristaen apartament 103 kv.m Tuhla 2024 g. 6 etaj Neposleden
Levski, Sofia",139320EUR,3,103,Tuhla,2024,78,0,0
Dianabad,"Dvustaen apartament 76 kv.m Tuhla 2023 g. 3 etaj Neposleden
Dianabad, Sofia",135000EUR,2,76,Tuhla,2023,78,0,0
Manastirski Livadi,"Dvustaen apartament 61 kv.m Tuhla 2024 g. 3 etaj Neposleden
Manastirski Livadi, Sofia",98090EUR,2,61,Tuhla,2024,78,0,0
Vitosa,"Dvustaen apartament 64 kv.m Tuhla 2023 g. 6 etaj Neposleden
Vitosa, Sofia",110150EUR,2,64,Tuhla,2023,78,0,0
Kr_stova Vada,"3-staen, Sofia, Kr_stova vada, 100 kv.m., 241100 €
Kr_stova Vada, Sofia",241100EUR,3,100,Tuhla,n/a,78,0,0
Kr_stova Vada,"3-staen, Sofia, Kr_stova vada, 100 kv.m., 247400 €
Kr_stova Vada, Sofia",247400EUR,3,100,Tuhla,n/a,78,0,0
Boana,"3-staen, Sofia, Boana, 141.24 kv.m., 425000 €
Boana, Sofia",425000EUR,3,141,Tuhla,n/a,78,0,0
Boana,"Mnogostaen, Sofia, Boana, 158.35 kv.m., 475000 €
Boana, Sofia",475000EUR,4,158,Tuhla,n/a,78,0,0
Boana,"3-staen, Sofia, Boana, 123 kv.m., 310000 €
Boana, Sofia",310000EUR,3,123,Tuhla,n/a,78,0,0
Ovca Kupel 2,"2-staen, Sofia, Ovca kupel 2, 81.01 kv.m., 109350 €
Ovca Kupel 2, Sofia",109350EUR,2,81,Tuhla,n/a,78,0,0
Malinova Dolina,"2-staen, Sofia, Malinova Dolina, 60 kv.m., 110000 €
Malinova Dolina, Sofia",110000EUR,2,60,Tuhla,2023,78,0,0
Lulin 5,"3-staen, Sofia, Lulin 5, 91 kv.m., 116190 €
Lulin 5, Sofia",116190EUR,3,91,Tuhla,n/a,78,0,0
Lulin 5,"3-staen, Sofia, Lulin 5, 117 kv.m., 137992 €
Lulin 5, Sofia",137992EUR,3,117,Tuhla,n/a,78,0,0
Moderno Predgradie,"2-staen, Sofia, Moderno predgradie, 65 kv.m., 85000 €
Moderno Predgradie, Sofia",85000EUR,2,65,Panel,n/a,78,0,0
Manastirski Livadi,"3-staen, Sofia, Manastirski livadi - iztok, 113 kv.m., 221000 €
Manastirski Livadi, Sofia",221000EUR,3,113,Tuhla,n/a,78,0,0
Boana,"2-staen, Sofia, Boana, 77 kv.m., 129788 €
Boana, Sofia",129788EUR,2,77,Tuhla,n/a,78,0,0
Zent_r,"2-staen, Sofia, Zent_r, 94 kv.m., 178885 €
Zent_r, Sofia",178885EUR,2,94,Tuhla,n/a,78,0,0
Zent_r,"3-staen, Sofia, Zent_r, 104 kv.m., 191512 €
Zent_r, Sofia",191512EUR,3,104,Tuhla,n/a,78,0,0
Zent_r,"2-staen, Sofia, Zent_r, 77 kv.m., 149721 €
Zent_r, Sofia",149721EUR,2,77,Tuhla,n/a,78,0,0
Zent_r,"2-staen, Sofia, Zent_r, 111 kv.m., 167263 €
Zent_r, Sofia",167263EUR,2,111,Tuhla,n/a,78,0,0
Zent_r,"2-staen, Sofia, Zent_r, 75 kv.m., 148960 €
Zent_r, Sofia",148960EUR,2,75,Tuhla,n/a,78,0,1
Zent_r,"2-staen, Sofia, Zent_r, 77 kv.m., 142043 €
Zent_r, Sofia",142043EUR,2,77,Tuhla,n/a,78,0,1
Ovca Kupel 2,"3-staen, Sofia, Ovca kupel 2, 108 kv.m., 153610 €
Ovca Kupel 2, Sofia",153610EUR,3,108,Tuhla,n/a,78,0,1
Vitosa,"Ednostaen Apartament v_v Vitosa s Akt 16
Vitosa, Sofia",73999EUR,0,43,Tuhla,2022,78,0,1
Malinova Dolina,"Obzaveden Tristaen Apartament v Malinova Dolina s Akt 16!
Malinova Dolina, Sofia",183000EUR,3,121,Tuhla,2005,78,0,1
Studentski Grad,"Prostoren Tristaen Apartament v Studentski Grad! Visok Klas Stroitelstvo!
Studentski Grad, Sofia",252000EUR,3,146,Tuhla,2022,78,0,1
Manastirski Livadi,"Tristaen Apartament v Manastirski Livadi
Manastirski Livadi, Sofia",175800EUR,3,98,Tuhla,2023,78,0,1
Suhata reka,"Tristaen ap. za prodajba v kv. Suhata reka
Suhata reka, Sofia",135000EUR,3,80,Tuhla,1970,78,0,1
Strelbise,"Tristaen za prodajba v kv. Strelbise
Strelbise, Sofia",252000EUR,3,98,Tuhla,1976,79,0,1
Kr_stova Vada,"tristaen ugoiztocen apartament v sgrada na etap izkop
Kr_stova Vada, Sofia",168800EUR,3,93,Tuhla,2023,79,0,1
Malinova Dolina,"Dvustaen apartament 59 kv.m Tuhla 2022 g. 2 etaj Neposleden
Malinova Dolina, Sofia",88490EUR,2,59,Tuhla,2022,79,0,1
Drujba 2,"Dvustaen apartament, Drujba 2
Drujba 2, Sofia",102000EUR,2,73,Tuhla,2024,79,0,1
Strelbise,"Mnogostaen apartament, Strelbise
Strelbise, Sofia",355000EUR,4,212,Tuhla,1997,79,0,1
Ovca Kupel,"2-staen apartament Ovca Kupel
Ovca Kupel, Sofia",96360EUR,2,88,Tuhla,2023,79,0,1
Ovca Kupel,"2-staen apartament Ovca Kupel
Ovca Kupel, Sofia",125000EUR,2,89,Tuhla,2023,79,0,1
Kr_stova Vada,"cetiristaen apartament v kv. Kr_stova vada
 Kr_stova Vada, Sofia",385000EUR,4,169,Tuhla,2023,79,0,1
Malinova Dolina,"Ednostaen apartament 40 kv.m Tuhla 2022 g. 1 etaj P_rvi jilisen
Malinova Dolina, Sofia",66899EUR,0,40,Tuhla,2022,79,0,1
Kr_stova Vada,"tristaen apartament pred akt 15
Kr_stova Vada, Sofia",147000EUR,3,103,Tuhla,2021,79,0,1
Simeonovo,"dvustaen v kv. Simeonovo
Simeonovo, Sofia",99000EUR,2,88,Tuhla,2023,79,0,1
Simeonovo,"dvustaen ujen v kompleks do lift Simeonovo
 Simeonovo, Sofia",110000EUR,2,88,Tuhla,2023,79,0,1
Nadejda 3,"Ednostaen apartament 42 kv.m Panel 1986 g. 4 etaj Neposleden
Nadejda 3, Sofia",77700EUR,0,42,Panel,1986,79,0,1
Manastirski Livadi,"Tristaen apartament 123 kv.m Tuhla 2007 g. 4 etaj Neposleden
Manastirski Livadi, Sofia",295000EUR,3,123,Tuhla,2007,79,0,1
Nadejda 3,"Tristaen apartament 80 kv.m Tuhla 2022 g. 5 etaj Neposleden
Nadejda 3, Sofia",130000EUR,3,80,Tuhla,2022,79,0,1
Zent_r,"Tristaen apartament 91 kv.m Tuhla 1960 g. 1 etaj P_rvi jilisen
Zent_r, Sofia",300000EUR,3,91,Tuhla,1960,79,0,1
Mladost 4,"Dvustaen apartament 65 kv.m Tuhla 2023 g. 6 etaj Neposleden
Mladost 4, Sofia",145000EUR,2,65,Tuhla,2023,79,0,1
Mladost 2,"Dvustaen apartament 67 kv.m Panel 1984 g. 7 etaj Neposleden
Mladost 2, Sofia",128000EUR,2,67,Panel,1984,79,0,1
Sveta Troiza,"Ednostaen apartament 44 kv.m Panel 1980 g. 1 etaj P_rvi jilisen
Sveta Troiza, Sofia",92700EUR,0,44,Panel,1980,79,0,1
Ilinden,"Prodava se dvustaen apartament do metrostanzia Vardar
Ilinden, Sofia",111500EUR,2,68,Panel,1980,79,0,1
Lulin 3,"Dvustaen apartament, j.k. ”Lulin 3”
Lulin 3, Sofia",80000EUR,2,42,EPK/PK,1988,79,0,1
Ovca Kupel,"prodava tristaen
Ovca Kupel, Sofia",137600EUR,3,98,Tuhla,2024,79,0,1
Vitosa,"Tristaen apartament - Vitosa, Sofia
Vitosa, Sofia",280000EUR,3,180,Tuhla,2011,79,0,1
Tolstoj,"Za prodajba - Dvustaen apartament v Tolstoj
Tolstoj, Sofia",85000EUR,2,74,Panel,1968,79,0,1
Malinova Dolina,"Dvustaen apartament 54 kv.m Tuhla 2021 g. 2 etaj Neposleden
Malinova Dolina, Sofia",100000EUR,2,54,Tuhla,2021,79,0,1
Manastirski Livadi,"Sl_ncev 1-staen apartament ot sobstvenik v Manastirski livadi
 Manastirski Livadi, Sofia",115000EUR,0,39,Tuhla,2012,79,1,1
