region,area,population,coordinates,distance_from_center
Triadiza,j.k. Manastirski livadi - iztok,4732.0,"[42.657762, 23.302778]",4.704245114089453
Serdika,j.k. Orlandovzi - Malasevzi,12486.0,"[42.731088, 23.346039]",4.2094046846057624
Banka,Lulin planina - zapad,,"[42.702887, 23.113616]",17.01780492419977
Banka,"gr. Banka, kv. Izgrev",351.0,"[42.721661, 23.165722]",13.023455264020257
Ilinden,j.k. NPZ Zaharna fabrika,4167.0,"[42.718697, 23.30038]",2.9149183884292214
Vitosa,v.z. Malinova dolina - zapad,42.0,"[42.626103, 23.350935]",8.31172306384466
Poduene,j.k. Suhata reka - zapad,4420.0,"[42.70226, 23.359804]",3.1510448321616895
Vitosa,kv. Karpuziza - zapad,5438.0,"[42.671583, 23.251983]",6.399462426961295
Vitosa,kv. Karpuziza - iztok,2236.0,"[42.659451, 23.243822]",7.659643071322521
Vitosa / Pancarevo,v.z. Malinova dolina - gerena,114.0,"[42.620502, 23.379242]",9.787652003009814
Isk_r,Vrana - stopanstvoto,47.0,"[42.647014, 23.449862]",11.894427587277915
Studentska,kv. Malinova dolina - iztok,450.0,"[42.643329, 23.355852]",6.658237774870602
Izgrev,m. Gara Pioner,36.0,"[42.673263, 23.347066]",3.4160258273003286
Vitosa,m. obsl. zona Okolovr_sten p_t - Al. Malinov ug,5.0,"[42.62378, 23.368858]",9.077923856033367
Ovca Kupel,m. Ovca Kupel - kv. 50,687.0,"[42.67893, 23.254854]",5.85234942445879
Pancarevo,SOP s. Kazicene - s. Krivina,44.0,"[42.689628, 23.460142]",11.34629649282461
Pancarevo,s. Kazicene - ug,4266.0,"[42.67115, 23.468511]",12.354487183971841
Pancarevo,s. Jelezniza - mahala Cemernik i Zarevi kosari,5.0,"[42.533549, 23.380262]",18.870814817336434
Vitosa,"s. M_rcaevo, m. Manis",0.0,"[42.596903, 23.147125]",18.15502025934735
Lulin,"Filipovzi, m. Seoviza",0.0,"[42.714929, 23.220837]",8.464857092026751
Ovca Kupel,"Suhodol, m. Sredni del",0.0,"[42.695792, 23.208303]",9.27334521347692
Pancarevo,"s. Jelezniza, m. Kovacki kosari",,"[42.544085, 23.383163]",17.80552117987775
Pancarevo,"s. Jelezniza, m. Covkarniko",,"[42.546102, 23.379645]",17.510390489529758
Novi Isk_r,v.z. K_tina,,"[42.821279, 23.311282]",13.767443277918881
Vr_bniza,"s. Voluak, m. Razdolzi",0.0,"[42.767822, 23.208477]",12.098611310534002
Pancarevo,"s. Jelezniza, m. Slapovi kosari - ug",,"[42.502974, 23.364934]",21.939634876362085
Pancarevo,"s. Jelezniza, m. Slapovi kosari - sever",,"[42.507415, 23.365296]",21.457298790442763
Vitosa / Ovca Kupel,Razsadnik Malo Bucino,0.0,"[42.691321, 23.180533]",11.562576181738924
Pancarevo,Hidropark Isk_r - Vododajna zona az. Isk_r,0.0,"[42.533575, 23.522492]",24.554409797035948
Vitosa,Planina Vitosa - r-n Vitosa,20.0,"[42.650581, 23.221158]",9.750865513574055
Banka,"s. Klisura, r-n Banka zemlise",0.0,"[42.7374, 23.089181]",19.505540148915433
Kremikovzi,zem. zemi r-n Kremikovzi,204.0,"[42.775887, 23.512774]",17.859977798133286
Novi Isk_r / Kremikovzi,Sofijska planina (zapadna Stara planina) 2,46.0,"[42.815289, 23.410421]",14.945457506455039
Pancarevo,Planina Vitosa - r-n Pancarevo,1.0,"[42.600639, 23.352891]",11.089637831186224
Pancarevo,Plana planina,0.0,"[42.576, 23.407991]",15.261436454873689
